InternationalMaritimeOrganizationNumber,VesselTypeName,VesselStatusName,DeadWeightTonnage,Speed,ManagementcompanyCode,ManagementCompany
9396787,Chemical/Products Tanker,In Trading Fleet,50554,12.5,1898811,Columbia Shipmanagement (Deutschland) GmbH
9396799,Chemical/Products Tanker,In Trading Fleet,50661,14.2,5562457,Scorpio Marine Management (India) Pvt Ltd
9396880,Products Tanker,In Trading Fleet,8008,12.5,5070349,Chemikalien Seetransport Singapore Pte Ltd
9396983,Bunkering Tanker,In Trading Fleet,2009,8,9991001,Unknown
9397030,Products Tanker,In Trading Fleet,11479,10,5819093,Global Radiance Ship Management Pte Ltd
9397042,Chemical/Products Tanker,In Trading Fleet,13068,13.4,5239536,ASP Ship Management Singapore Pte Ltd
9397145,Crude Oil Tanker,In Trading Fleet,302303,15.55,1627694,MOL Tankship Management Pte Ltd
9397183,General Cargo Ship,In Trading Fleet,17356,15,9991001,Unknown
9397200,Bulk Carrier,In Trading Fleet,16648,11.8,5772262,INTRESCO Ltd
9397236,Bulk Carrier,In Trading Fleet,31887,14.1,9991001,Unknown
9397248,Bulk Carrier,In Trading Fleet,31883,14.1,533571,AM Nomikos Transworld Maritime Agencies SA
9397339,LNG Tanker,In Trading Fleet,107160,19.5,5654876,Nakilat Shipping (Qatar) Ltd
9397341,LNG Tanker,In Trading Fleet,121913,19,5654876,Nakilat Shipping (Qatar) Ltd
9397494,Cement Carrier,In Trading Fleet,5800,12.1,5808479,Nova Ship Tech SA
9397585,Container Ship (Fully Cellular),In Trading Fleet,50848,23.3,1605338,Technomar Shipping Inc
9397676,Products Tanker,In Trading Fleet,13030,10,555540,Azerbaijan Caspian Shipping CJSC (ASCO)
9397755,Products Tanker,In Trading Fleet,109815,15.3,5912498,COSCO Shipping Energy Transportation Co Ltd
9397767,Products Tanker,In Trading Fleet,3876,10,793945,Hong Lam Marine Pte Ltd
9397793,Crude Oil Tanker,In Trading Fleet,111410,14.8,5287602,Synergy Maritime Pvt Ltd
9397834,Bulk Carrier,In Trading Fleet,55652,14.5,9991001,Unknown
9397860,Bulk Carrier,In Trading Fleet,55639,14.4,260691,Oskar Wehr KG (GmbH & Co)
9397872,Bulk Carrier,In Trading Fleet,55715,14.69,5615220,Mercantile Shipping Lines Ltd
9397896,Products Tanker,In Trading Fleet,110077,15.3,1627694,MOL Tankship Management Pte Ltd
9398096,Ore Carrier,In Trading Fleet,297088,14.7,207625,Neu Seeschiffahrt GmbH
9398101,Bulk Carrier,In Trading Fleet,207955,14.45,5576575,ISM Ship Management Pte Ltd
9398149,Bulk Carrier,In Trading Fleet,207991,14.45,523249,First Marine Service Co Ltd
9398163,Bulk Carrier,In Trading Fleet,207918,14.45,297888,Toyo Sangyo Co Ltd (Toyo Sangyo KK)
9398216,Container Ship (Fully Cellular),In Trading Fleet,85760,23,1535947,MSC Shipmanagement Ltd
9398228,Container Ship (Fully Cellular),In Trading Fleet,85713,25,1535947,MSC Shipmanagement Ltd
