lcd_id,lcd_version,related_num,r_ncd_id,r_ncd_version,last_updated
38931,10,2,266,1,2021-01-06 15:13:16.257000000
39039,2,1,372,2,2021-05-04 13:58:56.807000000
39050,2,1,64,1,2021-05-11 16:22:39.457000000
39050,2,2,338,1,2021-05-11 16:23:25.017000000
39050,2,3,129,1,2021-05-11 16:23:25.017000000
39051,3,1,64,1,2021-08-31 13:40:57.013000000
39051,3,2,338,1,2021-08-31 13:40:57.017000000
39051,3,3,129,1,2021-08-31 13:40:57.017000000
39062,14,8,281,6,2021-06-01 15:04:46.667000000
39062,14,9,268,2,2021-06-01 15:05:10.613000000
39062,14,10,198,1,2021-06-01 15:05:23.667000000
39062,14,11,372,2,2021-06-01 15:05:42.843000000
39062,14,12,333,1,2021-06-01 15:06:02.457000000
39063,11,1,333,1,2021-10-06 13:10:47.187000000
39063,11,2,372,2,2021-10-06 13:11:03.157000000
39072,6,1,281,5,2021-05-25 14:44:23.753000000
39072,6,2,198,1,2021-05-25 14:44:36.433000000
39072,6,3,372,2,2021-05-25 14:44:51.220000000
39072,6,4,333,1,2021-05-25 14:45:13.213000000
39072,6,5,268,2,2021-05-25 14:45:31.007000000
39073,4,1,333,1,2021-10-06 13:34:19.197000000
39073,4,2,372,2,2021-10-06 13:34:38.193000000
